systematic_name,bp,mf
YHR132W-A,biological process unknown,molecular function unknown
YGR131W,biological process unknown,molecular function unknown
YPL033C,meiosis*,molecular function unknown
YLR267W,biological process unknown,molecular function unknown
YGR267C,folic acid and derivative biosynthesis,GTP cyclohydrolase I activity
YHR071W,cell cycle,cyclin-dependent protein kinase regulator activity
YGL154C,lysine biosynthesis via aminoadipic acid*,phosphopantetheinyltransferase activity
YBR173C,ubiquitin-dependent protein catabolism*,proteasome activator activity
YBR085C-A,biological process unknown,molecular function unknown
YCR082W,biological process unknown,molecular function unknown
YDL045C,FAD biosynthesis,FMN adenylyltransferase activity
YNL006W,transport*,protein binding
YNL063W,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YML078W,protein folding,peptidyl-prolyl cis-trans isomerase activity
YIL065C,mitochondrial fission,molecular function unknown
YMR150C,mitochondrial protein processing,peptidase activity*
YGR235C,biological process unknown,molecular function unknown
YPL148C,protein-cofactor linkage,phosphopantetheinyltransferase activity
YMR035W,mitochondrial protein processing,peptidase activity*
YPL099C,biological process unknown,molecular function unknown
YHR122W,transcription,molecular function unknown
YGR232W,proteolysis and peptidolysis,molecular function unknown
YNL294C,sporulation (sensu Fungi)*,molecular function unknown
YDR530C,nucleotide metabolism,bis(5'-nucleosyl)-tetraphosphatase activity*
YNL157W,biological process unknown,molecular function unknown
YNL208W,biological process unknown,molecular function unknown
YCR101C,biological process unknown,molecular function unknown
YNL227C,endocytosis,molecular function unknown
YGR037C,fatty acid metabolism*,long-chain fatty acid transporter activity*
YGR201C,biological process unknown,molecular function unknown
YGL036W,biological process unknown,molecular function unknown
YPL106C,protein folding,unfolded protein binding*
YJR046W,regulation of DNA replication initiation,molecular function unknown
YIL003W,iron-sulfur cluster assembly,ATPase activity
YHR132C,cell wall organization and biogenesis*,metalloendopeptidase activity
YER128W,biological process unknown,molecular function unknown
YLR122C,NA,NA
YAL064W-B,biological process unknown,molecular function unknown
YNL020C,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YCR038C,pseudohyphal growth*,signal transducer activity*
YCR005C,glutamate biosynthesis*,citrate (Si)-synthase activity
YJR136C,protein biosynthesis,molecular function unknown
YBL107W-A,NA,NA
YER138W-A,biological process unknown,molecular function unknown
YCR018C,rRNA processing,molecular function unknown
YGR153W,biological process unknown,molecular function unknown
YJR014W,biological process unknown,RNA binding
YKL214C,poly(A)+ mRNA-nucleus export,RNA binding
YMR289W,biological process unknown,molecular function unknown
YOR077W,biological process unknown,molecular function unknown
YDL027C,biological process unknown,molecular function unknown
YJL099W,Golgi to plasma membrane transport*,molecular function unknown
YEL073C,biological process unknown,molecular function unknown
YDR335W,protein-nucleus export,protein binding*
YJR140C,G1/S-specific transcription in mitotic cell cycle,transcription corepressor activity
YJR119C,biological process unknown,molecular function unknown
YEL022W,ER to Golgi transport*,ARF guanyl-nucleotide exchange factor activity
YGL186C,vitamin transport,vitamin transporter activity
YOR306C,transport,transporter activity*
YKL090W,biological process unknown,protein binding
YAR023C,biological process unknown,molecular function unknown
YBR089C-A,regulation of transcription from RNA polymerase II promoter*,chromatin binding
YEL028W,NA,NA
YOR104W,biological process unknown,molecular function unknown
YOL037C,NA,NA
YDL146W,biological process unknown,molecular function unknown
YKL220C,iron ion transport*,ferric-chelate reductase activity
YKR098C,biological process unknown,ubiquitin-specific protease activity
YLR368W,mitochondrion organization and biogenesis*,molecular function unknown
YJL178C,vesicle organization and biogenesis,protein kinase regulator activity
YDR191W,chromatin silencing at telomere*,DNA binding
YOR169C,NA,NA
YDR390C,protein sumoylation,SUMO activating enzyme activity
YOL106W,NA,NA
YLR230W,NA,NA
YPL238C,NA,NA
YLR209C,purine nucleoside catabolism,purine-nucleoside phosphorylase activity
YDL185C-A,NA,NA
YBR234C,actin filament organization*,structural constituent of cytoskeleton
YGR073C,NA,NA
YDR416W,"nuclear mRNA splicing, via spliceosome*",molecular function unknown
YDR185C,biological process unknown,molecular function unknown
YLR320W,double-strand break repair,molecular function unknown
YAL041W,establishment of cell polarity (sensu Fungi)*,signal transducer activity*
YGR104C,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YOR060C,biological process unknown,molecular function unknown
YMR061W,mRNA polyadenylylation*,RNA binding*
YER022W,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YOR352W,biological process unknown,molecular function unknown
YPR120C,G1/S transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
YCR097W-A,NA,NA
YCR041W,NA,NA
YER087C-B,"SRP-dependent cotranslational protein-membrane targeting, translocation*",protein transporter activity*
YER023W,proline biosynthesis,pyrroline-5-carboxylate reductase activity
YMR263W,chromatin silencing at telomere*,histone deacetylase activity
YDR538W,aromatic compound catabolism,carboxy-lyase activity
YER002W,ribosomal large subunit biogenesis,molecular function unknown
YDR240C,"nuclear mRNA splicing, via spliceosome",mRNA binding
YPR055W,cytokinesis*,protein binding
YOR364W,NA,NA
YML095C,removal of nonhomologous ends*,single-stranded DNA specific endodeoxyribonuclease activity
YLR306W,protein monoubiquitination*,ubiquitin conjugating enzyme activity
YDL236W,protein amino acid dephosphorylation*,alkaline phosphatase activity*
YGL157W,biological process unknown,oxidoreductase activity*
YDR345C,hexose transport,glucose transporter activity*
YGL209W,regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
YOR047C,regulation of transcription from RNA polymerase II promoter*,protein kinase activator activity
YHR094C,hexose transport,glucose transporter activity*
YHR092C,hexose transport,glucose transporter activity*
YNL065W,drug transport*,monocarboxylic acid transporter activity*
YLR231C,NAD biosynthesis,kynureninase activity
YPL203W,protein amino acid phosphorylation*,protein serine/threonine kinase activity*
YIL119C,thiamin biosynthesis*,small GTPase regulator activity
YJL017W,NA,NA
YOR127W,actin filament organization*,signal transducer activity*
YBR065C,cell wall organization and biogenesis*,molecular function unknown
YGL082W,biological process unknown,molecular function unknown
YLR381W,chromosome segregation,protein binding
YGR252W,histone acetylation*,histone acetyltransferase activity*
YLR229C,establishment of cell polarity (sensu Fungi)*,GTPase activity*
YPL208W,biological process unknown,molecular function unknown
YER157W,ER to Golgi transport*,protein transporter activity
YBR288C,vesicle-mediated transport*,molecular function unknown
YKL080W,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
YCR075C,L-cystine transport,L-cystine transporter activity
YER099C,histidine biosynthesis*,ribose phosphate diphosphokinase activity
YLR318W,telomerase-dependent telomere maintenance,telomerase activity*
YGL252C,intracellular signaling cascade*,transcription regulator activity
YML098W,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity
YLR446W,biological process unknown,molecular function unknown
YDR075W,protein amino acid dephosphorylation*,protein phosphatase type 2A activity
YDL237W,biological process unknown,molecular function unknown
YIL124W,phosphatidic acid biosynthesis,acylglycerone-phosphate reductase activity
YMR007W,NA,NA
YJL207C,biological process unknown,molecular function unknown
YMR218C,ER to Golgi transport,molecular function unknown
YOR093C,biological process unknown,molecular function unknown
YGL194C,"regulation of transcription, DNA-dependent*",NAD-dependent histone deacetylase activity*
YNL201C,biological process unknown,molecular function unknown
YBR095C,conjugation with cellular fusion*,molecular function unknown
YDR110W,replicative cell aging*,ribosomal DNA (rDNA) binding
YKR022C,"nuclear mRNA splicing, via spliceosome",molecular function unknown
YJL162C,biological process unknown,molecular function unknown
YNL002C,ribosomal large subunit biogenesis*,rRNA binding
YLR145W,rRNA processing*,molecular function unknown
YBR129C,conjugation with cellular fusion,molecular function unknown
YKR064W,biological process unknown,molecular function unknown
YPL120W,protein-vacuolar targeting*,molecular function unknown
YHR118C,DNA replication initiation*,DNA replication origin binding
YNL041C,intra-Golgi transport,molecular function unknown
YPL060W,mitochondrial magnesium ion transport,magnesium ion transporter activity
YDR499W,DNA damage checkpoint*,protein binding*
YDL200C,DNA dealkylation,methylated-DNA-[protein]-cysteine S-methyltransferase activity
YDR082W,telomere capping,protein binding
YLR211C,biological process unknown,molecular function unknown
YBR184W,biological process unknown,molecular function unknown
YLR078C,ER to Golgi transport,v-SNARE activity
YPR202W,biological process unknown,molecular function unknown
YOR327C,endocytosis*,v-SNARE activity
YLR016C,biological process unknown,molecular function unknown
YLR167W,protein biosynthesis*,structural constituent of ribosome*
YLR029C,protein biosynthesis,structural constituent of ribosome*
YPR146C,NA,NA
YOR094W,actin cytoskeleton organization and biogenesis*,GTPase activity
YDR318W,chromosome segregation,protein binding
YLR421C,proteolysis and peptidolysis,endopeptidase activity
YJL179W,protein folding*,unfolded protein binding
YML067C,ER to Golgi transport,molecular function unknown
YMR052W,cell cycle arrest in response to pheromone,molecular function unknown
YMR059W,tRNA splicing,tRNA-intron endonuclease activity
YMR130W,biological process unknown,molecular function unknown
YDR140W,peptidyl-glutamine methylation,S-adenosylmethionine-dependent methyltransferase activity*
YCL027W,conjugation with cellular fusion*,molecular function unknown
YMR204C,peroxisome inheritance,molecular function unknown
YIL144W,chromosome segregation*,structural constituent of cytoskeleton
YMR028W,signal transduction,protein binding
YNL258C,"retrograde transport, Golgi to ER",molecular function unknown
YDR166C,cytokinesis*,protein binding
YPR189W,mRNA catabolism*,translation repressor activity
YDR495C,protein-vacuolar targeting*,molecular function unknown
YPL064C,biological process unknown,molecular function unknown
YJL049W,biological process unknown,molecular function unknown
YMR077C,late endosome to vacuole transport*,molecular function unknown
YPR101W,"nuclear mRNA splicing, via spliceosome",molecular function unknown
YHR039C-A,vacuolar acidification*,"hydrogen-transporting ATPase activity, rotational mechanism"
YGL241W,protein-nucleus import,protein carrier activity
YJR011C,biological process unknown,molecular function unknown
YOL149W,mRNA catabolism*,mRNA binding*
YLR033W,chromatin remodeling,molecular function unknown
YMR065W,karyogamy during conjugation with cellular fusion,molecular function unknown
YLR447C,vacuolar acidification*,"hydrogen-transporting ATPase activity, rotational mechanism"
YOR039W,protein amino acid phosphorylation*,protein kinase CK2 activity
